Crop,Years,Million Acres Harvested Acreage,Million Bushels Production,PYPA,PPYPA,Yield per harvested acre
Barley,1866,0.754,18.095,21,22,24
Barley,1867,1.058,23.85,24,21,22.5
Barley,1868,1.064,23.2,22.5,24,21.8
Barley,1869,1.238,29.099,21.8,22.5,23.5
Barley,1870,1.331,29.047,23.5,21.8,21.8
Barley,1871,1.348,27.69,21.8,23.5,20.5
Barley,1872,1.421,32.005,20.5,21.8,22.5
Barley,1873,1.473,30.536,22.5,20.5,20.7
Barley,1874,1.628,36.125,20.7,22.5,22.2
Barley,1875,1.702,32.812,22.2,20.7,19.3
Barley,1876,1.973,40.711,19.3,22.2,20.6
Barley,1877,1.962,39.173,20.6,19.3,20
Barley,1878,1.848,37.448,20,20.6,20.3
Barley,1879,1.926,42.369,20.3,20,22
Barley,1880,1.99,45.261,22,20.3,22.7
Barley,1881,2.201,48.984,22.7,22,22.3
Barley,1882,2.434,60.072,22.3,22.7,24.7
Barley,1883,2.474,57.126,24.7,22.3,23.1
Barley,1884,2.694,67.919,23.1,24.7,25.2
Barley,1885,2.862,63.963,25.2,23.1,22.3
Barley,1886,3.027,73.503,22.3,25.2,24.3
Barley,1887,3.258,72.395,24.3,22.3,22.2
Barley,1888,3.283,75.98,22.2,24.3,23.1
Barley,1889,3.352,80.79,23.1,22.2,24.1
Barley,1890,3.25,69.88,24.1,23.1,21.5
Barley,1891,3.59,94.16,21.5,24.1,26.2
Barley,1892,3.857,95.17,26.2,21.5,24.7
Barley,1893,3.689,87.109,24.7,26.2,23.6
Barley,1894,3.639,74.211,23.6,24.7,20.4
Barley,1895,4.185,104.475,20.4,23.6,25
Barley,1896,4.131,97.479,25,20.4,23.6
Barley,1897,4.12,102.575,23.6,25,24.9
Barley,1898,4.113,98.174,24.9,23.6,23.9
Barley,1899,4.472,118.161,23.9,24.9,26.4
Barley,1900,4.703,96.588,26.4,23.9,20.5
Barley,1901,4.963,123.8,20.5,26.4,24.9
Barley,1902,5.474,146.207,24.9,20.5,26.7
Barley,1903,6.231,149.335,26.7,24.9,24
Barley,1904,6.579,166.103,24,26.7,25.2
Barley,1905,6.658,171.639,25.2,24,25.8
Barley,1906,6.744,179.148,25.8,25.2,26.6
Barley,1907,6.854,150.584,26.6,25.8,22
Barley,1908,7.409,170.78,22,26.6,23.1
Barley,1909,7.697,173.069,23.1,22,22.5
Barley,1910,7.546,142.419,22.5,23.1,18.9
Barley,1911,7.613,145.074,18.9,22.5,19.1
Barley,1912,7.542,196.927,19.1,18.9,26.1
Barley,1913,7.673,158.82,26.1,19.1,20.7
Barley,1914,7.653,177.712,20.7,26.1,23.2
Barley,1915,7.279,206.976,23.2,20.7,28.4
Barley,1916,7.623,159.157,28.4,23.2,20.9
Barley,1917,8.453,182.209,20.9,28.4,21.6
Barley,1918,9.198,225.067,21.6,20.9,24.5
Barley,1919,6.579,131.086,24.5,21.6,19.9
Barley,1920,7.439,171.042,19.9,24.5,23
Barley,1921,7.074,132.702,23,19.9,18.8
Barley,1922,6.601,152.908,18.8,23,23.2
Barley,1923,7.151,158.994,23.2,18.8,22.2
Barley,1924,7.038,165.318,22.2,23.2,23.5
Barley,1925,8.186,192.466,23.5,22.2,23.5
Barley,1926,7.917,166.03,23.5,23.5,21
Barley,1927,9.465,239.071,21,23.5,25.3
Barley,1928,12.735,328.351,25.3,21,25.8
Barley,1929,13.564,280.637,25.8,25.3,20.7
Barley,1930,12.629,301.619,20.7,25.8,23.9
Barley,1931,11.181,200.28,23.9,20.7,17.9
Barley,1932,13.206,299.394,17.9,23.9,22.7
Barley,1933,9.641,152.839,22.7,17.9,15.9
Barley,1934,6.577,117.39,15.9,22.7,17.8
Barley,1935,12.436,288.667,17.8,15.9,23.2
Barley,1936,8.329,147.74,23.2,17.8,17.7
Barley,1937,9.969,221.889,17.7,23.2,22.3
Barley,1938,10.61,256.62,22.3,17.7,24.2
Barley,1939,12.739,278.193,24.2,22.3,21.8
Barley,1940,13.525,311.278,21.8,24.2,23
Barley,1941,14.276,362.568,23,21.8,25.4
Barley,1942,16.958,429.45,25.4,23,25.3
Barley,1943,14.9,322.913,25.3,25.4,21.7
Barley,1944,12.301,276.275,21.7,25.3,22.5
Barley,1945,10.454,266.994,22.5,21.7,25.5
Barley,1946,10.38,265.059,25.5,22.5,25.5
Barley,1947,10.955,281.868,25.5,25.5,25.7
Barley,1948,11.905,315.537,25.7,25.5,26.5
Barley,1949,9.872,237.071,26.5,25.7,24
Barley,1950,11.155,303.772,24,26.5,27.2
Barley,1951,9.424,257.213,27.2,24,27.3
Barley,1952,8.236,228.168,27.3,27.2,27.7
Barley,1953,8.68,246.723,27.7,27.3,28.4
Barley,1954,13.37,379.254,28.4,27.7,28.4
Barley,1955,14.523,403.065,28.4,28.4,27.8
Barley,1956,12.852,376.661,27.8,28.4,29.3
Barley,1957,14.872,442.761,29.3,27.8,29.8
Barley,1958,14.791,477.368,29.8,29.3,32.3
Barley,1959,14.869,420.203,32.3,29.8,28.3
Barley,1960,13.856,429.005,28.3,32.3,31
Barley,1961,12.806,392.441,31,28.3,30.6
