contest_group_id,contest_name,choice,choice_party,sum
17,WAKE COUNTY BOARD OF EDUCATION DISTRICT 7,Zora S. Felton,,34625
3,GRANVILLE COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Zelodis Jay,DEM,3120
7,DAVIDSON COUNTY BOARD OF COMMISSIONERS,Zak Crotts,REP,50989
4,DAVIDSON COUNTY BOARD OF EDUCATION,Zachary Aaron Kivett (Write-In),,1
3,STOKES COUNTY BOARD OF EDUCATION,Zach Burton,,6286
1113,NC HOUSE OF REPRESENTATIVES DISTRICT 038,Yvonne Lewis Holley,DEM,28990
4,WARREN COUNTY REGISTER OF DEEDS,Yvonne D. Alston,DEM,7741
4,VANCE COUNTY BOARD OF COMMISSIONERS DISTRICT 6,Yolanda J. Feimster,DEM,1755
7,IREDELL COUNTY BOARD OF COMMISSIONERS,Xavier (Zake) Zsarmani,DEM,20456
7,WAKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Wyatt Crabtree (Write-In),,13
30,PITT COUNTY BOARD OF EDUCATION DISTRICT 6,Worth Forbes,,4199
1,NEW HANOVER COUNTY BOARD OF COMMISSIONERS,Woody White,REP,52851
1,AVERY COUNTY BOARD OF COMMISSIONERS,"Wood (Woodie) Hall Young, Jr.",REP,4772
2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,Wilma Means (Write-In),,64
4,STOKES COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISO,Willis Overby,,7576
2,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Willie Justice (Write-In),,6
2,CLEVELAND COUNTY BOARD OF COMMISSIONERS,Willie B. McIntosh,DEM,16846
2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,"William T. Morris, III (Write-In)",,6
7,WAKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,William Rhett Butler (Write-In),,5
1074,NC STATE SENATE DISTRICT 49,William Meredith,LIB,24672
1226,NC DISTRICT COURT JUDGE DISTRICT 04 (CAMERON),William M. (Mac) Cameron III,,61480
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,William M Stephenson,,7097
1295,NC DISTRICT COURT JUDGE DISTRICT 16B (MOORE),William Jeffrey Moore,,22136
7,POLK COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,William Frank Smith,,7425
3,GASTON COUNTY BOARD OF COMMISSIONERS GASTONIA TOWNSHIP,William F. Manning,DEM,29850
1082,NC HOUSE OF REPRESENTATIVES DISTRICT 007,William Duke Hancock II,REP,11072
2,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 3,William C. Flythe,DEM,22526
1245,NC DISTRICT COURT JUDGE DISTRICT 07 (FARRIS),William C. Farris,,76351
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,William Bumgarner (Write-In),,5
1097,NC HOUSE OF REPRESENTATIVES DISTRICT 022,William Brisson,DEM,21091
3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,William Bill Randolph (Write-In),,252
12,MOORE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,William Arthur (Art) Williams,,18731
1283,NC DISTRICT COURT JUDGE DISTRICT 14 (MARSH),William A. (Drew) Marsh III,,52660
5,ROWAN-SALISBURY BOARD OF EDUCATION SEAT 7,William (Rob) Robertson,,12551
1,HOKE COUNTY BOARD OF COMMISSIONERS,William (Brownie) Brown,REP,8265
