contest_group_id,contest_name,choice,choice_party,sum
1,CAMDEN COUNTY CLERK OF SUPERIOR COURT (DEM),Y. Monique Chamblee,DEM,250
6,AVERY COUNTY BOARD OF COMMISSIONERS (REP),"Wood (Woodie) Hall Young, Jr.",REP,1327
12,CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT IV (REP),Winfield L. Clonts,REP,1891
23,CITY OF LINCOLNTON CITY COUNCIL WARD 1 (DEM),Willie Vaughn,DEM,70
7,SAMPSON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Willie R. Moore,DEM,251
1020,NC HOUSE OF REPRESENTATIVES DISTRICT 004 (DEM),William Vann,DEM,1811
18,FORSYTH COUNTY SHERIFF (REP),William T. (Bill) Schatzman,REP,7968
1470,NC STATE SENATE DISTRICT 34 (DEM),William Stinson,DEM,1271
3,ONSLOW COUNTY BOARD OF COMMISSIONERS (REP),William Shanahan,REP,4631
6,ASHE COUNTY BOARD OF COMMISSIONERS (REP),William Sands,REP,1480
21,ROBESON COUNTY BOARD OF EDUCATION DISTRICT 3,William Freeman (Write-In),,1
10,BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),William D. Whitley,DEM,277
7,BEAUFORT COUNTY SHERIFF (DEM),William Chrismon,DEM,1106
19,GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 8 (DEM),William (BJ) Levette,DEM,574
6,ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),"William (Billy) Littrell, Jr.",REP,751
1469,NC STATE SENATE DISTRICT 34 (REP),William (Bill) Howell,REP,996
15,GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 4 (REP),Will Marsh,REP,906
3,TRANSYLVANIA COUNTY BOARD OF COMMISSIONERS (REP),Will Cathey,REP,1425
19,ORANGE COUNTY BOARD OF EDUCATION,Will Atherton,,4821
1416,NC STATE SENATE DISTRICT 16 (DEM),Wiley Nickel,DEM,8585
1323,NC HOUSE OF REPRESENTATIVES DISTRICT 105 (DEM),Wesley Harris,DEM,2244
7,HALIFAX COUNTY SHERIFF (DEM),Wes Tripp,DEM,5059
1527,US HOUSE OF REPRESENTATIVES DISTRICT 02 (DEM),Wendy Ella May,DEM,3895
1208,NC HOUSE OF REPRESENTATIVES DISTRICT 067 (REP),Wayne Sasser,REP,4950
6,ASHE COUNTY BOARD OF COMMISSIONERS (REP),Wayne Osborne,REP,1214
20,CASWELL COUNTY BOARD OF EDUCATION DISTRICT 2,Wayne L. Owen,,1065
15,RUTHERFORD COUNTY SHERIFF (REP),Wayne Guffey,REP,2034
4,SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (DEM),Wayne Dover,DEM,553
21,HARNETT COUNTY SHERIFF (REP),Wayne Coats,REP,3209
9,STOKES COUNTY BOARD OF COMMISSIONERS (REP),Wayne Barneycastle,REP,948
6,BURKE COUNTY BOARD OF COMMISSIONERS (REP),"Wayne Abele, Sr.",REP,2062
9,ONSLOW COUNTY SHERIFF (REP),Walter J. Scott,REP,748
1529,US HOUSE OF REPRESENTATIVES DISTRICT 03 (REP),Walter B. Jones,REP,20957
1203,NC HOUSE OF REPRESENTATIVES DISTRICT 065 (DEM),Wally White,DEM,1351
7,WARREN COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Wadie Cheek Ryan,DEM,380
10,WAYNE COUNTY BOARD OF EDUCATION DISTRICT 6,Wade Leatham,,432
6,ALLEGHANY COUNTY BOARD OF COMMISSIONERS (REP),Wade (Bobby) Irwin,REP,479
33,BLADEN COUNTY SHERIFF (REP),W. M. (Billy) Ward,REP,378
3,TRANSYLVANIA COUNTY BOARD OF COMMISSIONERS (REP),W. David Guice,REP,1726
1535,US HOUSE OF REPRESENTATIVES DISTRICT 05 (REP),Virginia Foxx,REP,32654
6,BURKE COUNTY BOARD OF COMMISSIONERS (REP),Virginia (Jennie) Cook,REP,1621
13,MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Vilma Leake,DEM,7938
3,CUMBERLAND COUNTY SHERIFF (REP),Victor B. Starling,REP,1023
1469,NC STATE SENATE DISTRICT 34 (REP),Vickie Sawyer,REP,4800
19,WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (DEM),Vickie Adamson,DEM,31882
19,JONES COUNTY BOARD OF COMMISSIONER DISTRICT 7 (DEM),Vernon Lee Harris,DEM,85
1,HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Vernon J. Bryant,DEM,5250
19,CASWELL COUNTY BOARD OF EDUCATION DISTRICT 1,Vennie Beggarly,,417
6,SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (REP),Vance W. Greene III,REP,209
9,CABARRUS COUNTY SHERIFF (REP),Van Shaw,REP,6101
1581,DISTRICT ATTORNEY DISTRICT 07 (DEM),Valerie Mitchell Asbell,DEM,11963
18,WARREN COUNTY BOARD OF EDUCATION DISTRICT 2,Ulysses S. Ross,,837
12,ROCKINGHAM COUNTY BOARD OF COMMISSIONERS (REP),Tyres Tatum,REP,2126
7,HALIFAX COUNTY SHERIFF (DEM),Tyree Davis,DEM,3812
15,CHEROKEE COUNTY BOARD OF EDUCATION AT-LARGE (REP),Tylor J. Dockery,REP,1620
1040,NC HOUSE OF REPRESENTATIVES DISTRICT 011 (REP),Tyler Brooks,REP,836
1271,NC HOUSE OF REPRESENTATIVES DISTRICT 088 (REP),Ty Turner,REP,433
1,MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Trevor M. Fuller,DEM,33995
