county,contest_group_id,contest_name,choice,choice_party,sum
ALAMANCE,4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Bill Lashley,REP,32624
ALAMANCE,4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Eddie Boswell,REP,40351
ALAMANCE,4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Timothy (Tim) Sutton,REP,33152
ALAMANCE,4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Tom Gamble,DEM,27674
ALAMANCE,4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Wayne Beam,DEM,32402
ALAMANCE,6,ALAMANCE COUNTY BOARD OF COMMISSIONERS (UNEXPIRED TERM),Amy Scott Galey,REP,40360
ALAMANCE,6,ALAMANCE COUNTY BOARD OF COMMISSIONERS (UNEXPIRED TERM),Kendal McBroom,DEM,27883
ALAMANCE,5,ALAMANCE COUNTY REGISTER OF DEEDS,Hugh Webster,REP,49444
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Allison Gant (Write-In),,8
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Brian Feeley,,35720
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Debora McClendon (Write-In),,5
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Derek Tang (Write-In),,9
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Jackie S. Cole,,35436
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Pamela Tyler Thompson,,39094
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Patsy Simpson,,38561
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Seneca Rogers (Write-In),,8
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Shanee Cowland (Write-In),,7
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Stephanie Braxton (Write-In),,6
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Steve A. Van Pelt,,39799
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Tammye Wilson (Write-In),,9
