contest_group_id,contest_name,choice,choice_party,sum
1372,DISTRICT ATTORNEY DISTRICT 11A,Vernon Stewart,DEM,45937
1369,DISTRICT ATTORNEY DISTRICT 16A,Kristy McMillan Newton,DEM,23067
1370,DISTRICT ATTORNEY DISTRICT 19B,Andrew Gregson,REP,60232
1371,DISTRICT ATTORNEY DISTRICT 19D,Maureen H. Krueger,REP,34755
1368,DISTRICT ATTORNEY DISTRICT 22A,Sarah Kirkman,REP,74384
1022,NC ATTORNEY GENERAL,Buck Newton,REP,2279006
1022,NC ATTORNEY GENERAL,Josh Stein,DEM,2303619
1019,NC AUDITOR,Beth A. Wood,DEM,2259436
1019,NC AUDITOR,Chuck Stuber,REP,2253394
1023,NC COMMISSIONER OF AGRICULTURE,Steve Troxler,REP,2524445
1023,NC COMMISSIONER OF AGRICULTURE,Walter Smith,DEM,2018872
1025,NC COMMISSIONER OF INSURANCE,Mike Causey,REP,2270841
1025,NC COMMISSIONER OF INSURANCE,Wayne Goodwin,DEM,2234953
1024,NC COMMISSIONER OF LABOR,Brian (BK) Wayne (Write-In),,68
1024,NC COMMISSIONER OF LABOR,Charles Meeker,DEM,2029227
1024,NC COMMISSIONER OF LABOR,Cherie Berry,REP,2505628
1024,NC COMMISSIONER OF LABOR,Write-In (Miscellaneous),,4999
1199,NC COURT OF APPEALS JUDGE (DIETZ),Richard Dietz,REP,2353604
1199,NC COURT OF APPEALS JUDGE (DIETZ),Vince Rozier,DEM,2048367
1396,NC COURT OF APPEALS JUDGE (GEER),Donald Ray Buie,UNA,252756
1396,NC COURT OF APPEALS JUDGE (GEER),Hunter Murphy,REP,2159193
1396,NC COURT OF APPEALS JUDGE (GEER),Margaret Eagles,DEM,2021769
1197,NC COURT OF APPEALS JUDGE (HUNTER),Abe Jones,DEM,2016552
1197,NC COURT OF APPEALS JUDGE (HUNTER),Bob Hunter,REP,2403059
1198,NC COURT OF APPEALS JUDGE (STEPHENS),Linda Stephens,DEM,2211631
1198,NC COURT OF APPEALS JUDGE (STEPHENS),"Phil Berger, Jr.",REP,2233730
1373,NC COURT OF APPEALS JUDGE (ZACHARY),Rickye McKoy-Mitchell,DEM,2027078
1373,NC COURT OF APPEALS JUDGE (ZACHARY),Valerie Zachary,REP,2361232
1213,NC DISTRICT COURT JUDGE DISTRICT 01 (BARNES),Edgar L. Barnes,,49726
1214,NC DISTRICT COURT JUDGE DISTRICT 01 (MALARNEY),Amber Davis Malarney,,48538
1216,NC DISTRICT COURT JUDGE DISTRICT 02 (MCLENDON),Chris McLendon,,31633
1215,NC DISTRICT COURT JUDGE DISTRICT 02 (PAUL),Michael A. Paul,,33262
1217,NC DISTRICT COURT JUDGE DISTRICT 03A (BRADDY),G. Galen Braddy,,46585
1218,NC DISTRICT COURT JUDGE DISTRICT 03A (DESOTO),Brian DeSoto,,49874
1219,NC DISTRICT COURT JUDGE DISTRICT 03A (LEECH),Daniel Hines Entzminger,,33617
1219,NC DISTRICT COURT JUDGE DISTRICT 03A (LEECH),Wendy Hazelton,,36964
1224,NC DISTRICT COURT JUDGE DISTRICT 03B (ALEXANDER),Karen A. Alexander,,62338
1223,NC DISTRICT COURT JUDGE DISTRICT 03B (MACK),Peter Mack,,58333
1222,NC DISTRICT COURT JUDGE DISTRICT 03B (MCFADYEN),W. David McFadyen III,,62215
1225,NC DISTRICT COURT JUDGE DISTRICT 03B (MILLS),Walter Mills,,53520
1220,NC DISTRICT COURT JUDGE DISTRICT 03B (QUINN),Paul M. Quinn,,59722
1221,NC DISTRICT COURT JUDGE DISTRICT 03B (ROWE),Clinton D. Rowe,,56241
1226,NC DISTRICT COURT JUDGE DISTRICT 04 (CAMERON),William M. (Mac) Cameron III,,61480
1229,NC DISTRICT COURT JUDGE DISTRICT 04 (FOY),Michael C. Surles,,45335
1229,NC DISTRICT COURT JUDGE DISTRICT 04 (FOY),Nathan Sweet,,41389
1230,NC DISTRICT COURT JUDGE DISTRICT 04 (JONES),Carol Jones,,69943
1227,NC DISTRICT COURT JUDGE DISTRICT 04 (MOOR),"James L. (Jim) Moore, Jr.",,63623
1231,NC DISTRICT COURT JUDGE DISTRICT 04 (STEVENS),Henry L. Stevens IV,,66146
